slugSeason,nameTeam,namePlayer,statusPlayer,isFinalSeason,isWaived,isOnRoster,isNonGuaranteed,isTeamOption,isPlayerOption,typeContractDetail,value
2020-21,Atlanta Hawks,Bogdan Bogdanovic,current roster,0,0,1,0,0,0,Guaranteed,18000000
2020-21,Atlanta Hawks,Brandon Goodwin,current roster,0,0,1,0,0,0,Guaranteed,1701593
2020-21,Atlanta Hawks,Bruno Fernando,current roster,0,0,1,0,0,0,Guaranteed,1517981
2020-21,Atlanta Hawks,Cam Reddish,current roster,0,0,1,0,0,0,Guaranteed,4458000
2020-21,Atlanta Hawks,Clint Capela,current roster,0,0,1,0,0,0,Guaranteed,16000000
2020-21,Atlanta Hawks,Danilo Gallinari,current roster,0,0,1,0,0,0,Guaranteed,19500000
2020-21,Atlanta Hawks,De'Andre Hunter,current roster,0,0,1,0,0,0,Guaranteed,7422000
2020-21,Atlanta Hawks,John Collins,current roster,0,0,1,0,0,0,Guaranteed,4137302
2020-21,Atlanta Hawks,Kevin Huerter,current roster,0,0,1,0,0,0,Guaranteed,2761920
2020-21,Atlanta Hawks,Khyri Thomas,W,0,0,0,0,0,0,Not With Team,744684
2020-21,Atlanta Hawks,Kris Dunn,current roster,0,0,1,0,0,0,Guaranteed,4767000
2020-21,Atlanta Hawks,Lou Williams,current roster,1,0,1,0,0,0,Guaranteed,8000000
2020-21,Atlanta Hawks,Onyeka Okongwu,current roster,0,0,1,0,0,0,Guaranteed,5813640
2020-21,Atlanta Hawks,Solomon Hill,current roster,1,0,1,0,0,0,Guaranteed,1620564
2020-21,Atlanta Hawks,Tony Snell,current roster,1,0,1,0,0,0,Guaranteed,12178571
2020-21,Atlanta Hawks,Trae Young,current roster,0,0,1,0,0,0,Guaranteed,6571800
2020-21,Boston Celtics,Aaron Nesmith,current roster,0,0,1,0,0,0,Guaranteed,3458400
2020-21,Boston Celtics,Carsen Edwards,current roster,0,0,1,0,0,0,Guaranteed,1517981
2020-21,Boston Celtics,Demetrius Jackson,W,0,0,0,0,0,0,Not With Team,92857
2020-21,Boston Celtics,Evan Fournier,current roster,1,0,1,0,0,0,Guaranteed,17450000
2020-21,Boston Celtics,Grant Williams,current roster,0,0,1,0,0,0,Guaranteed,2498760
2020-21,Boston Celtics,Guerschon Yabusele,W,0,0,0,0,0,0,Not With Team,1039080
2020-21,Boston Celtics,Jaylen Brown,current roster,0,0,1,0,0,0,Guaranteed,23437500
2020-21,Boston Celtics,Jayson Tatum,current roster,0,0,1,0,0,0,Guaranteed,9897120
2020-21,Boston Celtics,Kemba Walker,current roster,0,0,1,0,0,0,Guaranteed,34379100
2020-21,Boston Celtics,Luke Kornet,current roster,1,0,1,0,0,0,Guaranteed,2250000
2020-21,Boston Celtics,Marcus Smart,current roster,0,0,1,0,0,0,Guaranteed,13446428
2020-21,Boston Celtics,Moritz Wagner,current roster,1,0,1,0,0,0,Guaranteed,2161920
2020-21,Boston Celtics,Payton Pritchard,current roster,0,0,1,0,0,0,Guaranteed,2035800
2020-21,Boston Celtics,Robert Williams,current roster,0,0,1,0,0,0,Guaranteed,2029920
2020-21,Boston Celtics,Romeo Langford,current roster,0,0,1,0,0,0,Guaranteed,3631200
2020-21,Boston Celtics,Semi Ojeleye,current roster,1,0,1,0,0,0,Guaranteed,1752950
2020-21,Boston Celtics,Tristan Thompson,current roster,0,0,1,0,0,0,Guaranteed,9258000
2020-21,Brooklyn Nets,Alize Johnson,E,0,0,0,0,0,0,Not With Team,110998
2020-21,Brooklyn Nets,Andre Roberson,W,0,0,0,0,0,0,Not With Team,163818
2020-21,Brooklyn Nets,Blake Griffin,current roster,1,0,1,0,0,0,Guaranteed,776873
2020-21,Brooklyn Nets,Bruce Brown Jr,current roster,0,0,1,0,0,0,Guaranteed,1663861
2020-21,Brooklyn Nets,DeAndre Jordan,current roster,0,0,1,0,0,0,Guaranteed,10375678
2020-21,Brooklyn Nets,Iman Shumpert,W,0,0,0,0,0,0,Not With Team,447155
2020-21,Brooklyn Nets,James Harden,current roster,0,0,1,0,0,0,Guaranteed,41254920
2020-21,Brooklyn Nets,Jeff Green,current roster,1,0,1,0,0,0,Guaranteed,1620564
2020-21,Brooklyn Nets,Joe Harris,current roster,0,0,1,0,0,0,Guaranteed,16071429
2020-21,Brooklyn Nets,Kevin Durant,current roster,0,0,1,0,0,0,Guaranteed,40108950
2020-21,Brooklyn Nets,Kyrie Irving,current roster,0,0,1,0,0,0,Guaranteed,33460350
2020-21,Brooklyn Nets,LaMarcus Aldridge,current roster,1,0,1,0,0,0,Guaranteed,554988
2020-21,Brooklyn Nets,Landry Shamet,current roster,0,0,1,0,0,0,Guaranteed,2090040
2020-21,Brooklyn Nets,Nicolas Claxton,current roster,0,0,1,0,0,0,Guaranteed,1517981
